,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.course.attend.correct.answers,Correct {{correct}} out of {{total}},Correct {{correct}} out of {{total}},کل {{total}} میں سے درست {{correct}},Corect {{correct}} din {{total}},درست {{correct}} از {{total}},Correct {{correct}} sur {{total}},{{total}} में से {{correct}} सही,صحيح {{correct}} من {{total}},{{total}} ਵਿੱਚੋਂ {{correct}} ਸਹੀ,Correcto {{correct}} de {{total}},{{correct}} von {{total}} korrekt,{{total}}のうち{{correct}}が正解,{{total}} 중 {{correct}}개 정답,Правильно {{correct}} з {{total}},{{correct}} له {{total}} څخه سم,正确 {{correct}} / {{total}}
pie.session.already.reg,Successfully registered!,Successfully registered!,کامیابی سے رجسٹر ہو گیا!,Înregistrare reușită!,با موفقیت ثبت شد!,Inscription réussie !,सफलतापूर्वक पंजीकृत!,تم التسجيل بنجاح!,ਸਫਲਤਾਪੂਰਵਕ ਰਜਿਸਟਰ ਕੀਤਾ ਗਿਆ!,¡Registrado con éxito!,Erfolgreich registriert!,登録が成功しました！,성공적으로 등록되었습니다!,Успішно зареєстровано!,په بریالیتوب سره ثبت شو!,注册成功！
global.liveworkshop.name,Live workshop name,Live workshop name,لائیو ورکشاپ کا نام,Numele atelierului live,نام کارگاه زنده,Nom de l'atelier en direct,लाइव कार्यशाला का नाम,اسم ورشة العمل المباشرة,ਲਾਈਵ ਵਰਕਸ਼ਾਪ ਦਾ ਨਾਮ,Nombre del taller en vivo,Name des Live-Workshops,ライブワークショップ名,라이브 워크숍 이름,Назва живого семінару,د ژوندۍ ورکشاپ نوم,现场工作坊名称
pie.app.sessionlist.error,Unable to load more sessions.,Unable to load more sessions.,مزید سیشنز لوڈ کرنے سے قاصر۔,Nu se pot încărca mai multe sesiuni.,قادر به بارگذاری جلسات بیشتر نیست.,Impossible de charger plus de sessions.,अधिक सत्र लोड करने में असमर्थ।,غير قادر على تحميل المزيد من الجلسات.,ਹੋਰ ਸੈਸ਼ਨ ਲੋਡ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ।,No se pueden cargar más sesiones.,Es können keine weiteren Sitzungen geladen werden.,これ以上のセッションを読み込めません。,더 많은 세션을 로드할 수 없습니다.,Неможливо завантажити більше сеансів.,د نورو غونډو پورته کولو توان نشته.,无法加载更多会话。
pie.app.meta.zip_files,Zip file(s),Zip file(s),زپ فائل(یں),Fișier(e) zip,فایل(های) زیپ,Fichier(s) zip,ज़िप फ़ाइल(ें),ملف/ملفات مضغوطة,ਜ਼ਿਪ ਫਾਈਲ(ਜ਼),Archivo(s) zip,ZIP-Datei(en),Zipファイル,압축 파일,Zip файл(и),د زپ فایل(ونه),压缩文件
content.signup_not_allowed,You're not allowed to signup in this portal.,You're not allowed to signup in this portal.,آپ کو اس پورٹل میں سائن اپ کرنے کی اجازت نہیں ہے۔,Nu ai permisiunea să te înregistrezi pe acest portal.,شما اجازه ندارید در این پورتال ثبت‌نام کنید.,Vous n'êtes pas autorisé à vous inscrire sur ce portail.,आपको इस पोर्टल में साइनअप करने की अनुमति नहीं है।,غير مسموح لك بالتسجيل في هذا البوابة.,ਤੁਹਾਨੂੰ ਇਸ ਪੋਰਟਲ ਵਿੱਚ ਸਾਈਨਅਪ ਕਰਨ ਦੀ ਆਗਿਆ ਨਹੀਂ ਹੈ।,No tienes permiso para registrarte en este portal.,Sie dürfen sich in diesem Portal nicht anmelden.,このポータルでのサインアップは許可されていません。,이 포털에 가입할 수 없습니다.,Вам не дозволено реєструватися на цьому порталі.,تاسو ته اجازه نشته چې په دې پورټل کې نوم لیکنه وکړئ.,您不允许在此门户注册。
pie.broadcast.stop_subscriber_video,Disable videos of other attendees/trainers and only allow their audio,Disable videos of other attendees/trainers and only allow their audio,دیگر شرکاء/ٹرینرز کی ویڈیوز کو غیر فعال کریں اور صرف ان کی آڈیو کی اجازت دیں۔,Dezactivează videoclipurile altor participanți/instructori și permite doar audio-ul acestora.,غیرفعال کردن ویدیوهای سایر شرکت‌کنندگان/مربیان و فقط اجازه دادن به صدای آن‌ها,Désactiver les vidéos des autres participants/formateurs et n'autoriser que leur audio,अन्य उपस्थित लोगों/प्रशिक्षकों के वीडियो को अक्षम करें और केवल उनकी ऑडियो की अनुमति दें,تعطيل فيديوهات الحضور/المدربين الآخرين والسماح فقط بالصوت,ਹੋਰ ਹਾਜ਼ਰੀ/ਟ੍ਰੇਨਰਾਂ ਦੇ ਵੀਡੀਓ ਨੂੰ ਅਯੋਗ ਕਰੋ ਅਤੇ ਸਿਰਫ਼ ਉਨ੍ਹਾਂ ਦੀ ਆਡੀਓ ਦੀ ਆਗਿਆ ਦਿਓ,Desactivar videos de otros asistentes/entrenadores y solo permitir su audio,Videos anderer Teilnehmer/Trainer deaktivieren und nur deren Audio zulassen,他の参加者/トレーナーのビデオを無効にし、音声のみを許可する,다른 참석자/트레이너의 비디오를 비활성화하고 오디오만 허용합니다.,Вимкнути відео інших учасників/тренерів і дозволити лише їх аудіо,د نورو ګډونوالو/روزونکو ویډیوګانې غیر فعال کړئ او یوازې د دوی آډیو ته اجازه ورکړئ,禁用其他与会者/培训师的视频，仅允许音频。
pie.accessReq.cam.access,Mic/Camera access,Mic/Camera access,مائیک/کیمرہ رسائی,Acces microfon/cameră,دسترسی به میکروفون/دوربین,Accès micro/caméra,माइक/कैमरा एक्सेस,الوصول إلى الميكروفون/الكاميرا,ਮਾਈਕ/ਕੈਮਰਾ ਪਹੁੰਚ,Acceso al micrófono/cámara,Mikrofon-/Kamerazugriff,マイク/カメラアクセス,마이크/카메라 접근,Доступ до мікрофона/камери,مایک/کیمرا لاسرسی,麦克风/摄像头访问权限
pie.common.usertimezone,Time zone:,Time zone:,ٹائم زون:,Fus orar:,منطقه زمانی:,Fuseau horaire :,समय क्षेत्र:,المنطقة الزمنية:,ਸਮਾਂ ਖੇਤਰ:,Zona horaria:,Zeitzone:,タイムゾーン：,시간대:,Часовий пояс:,د وخت زون:,时区：
pie.pricing.empty_ticket_info,All active course subscriptions and ongoing payment plan cycle for your purchased courses will be listed here.,All active course subscriptions and ongoing payment plan cycle for your purchased courses will be listed here.,آپ کے خریدے گئے کورسز کے لیے تمام فعال کورس سبسکرپشنز اور جاری ادائیگی کے منصوبے کا دورانیہ یہاں درج ہوگا۔,Toate abonamentele active la cursuri și ciclul de plată în desfășurare pentru cursurile achiziționate vor fi listate aici.,تمام اشتراک‌های فعال دوره و چرخه برنامه پرداخت جاری برای دوره‌های خریداری‌شده شما در اینجا فهرست می‌شوند.,Tous les abonnements actifs aux cours et le cycle de plan de paiement en cours pour vos cours achetés seront listés ici.,आपके द्वारा खरीदे गए कोर्स के लिए सभी सक्रिय कोर्स सदस्यताएँ और चल रही भुगतान योजना चक्र यहां सूचीबद्ध होंगे।,سيتم إدراج جميع اشتراكات الدورة النشطة ودورة خطة الدفع الجارية للدورات التي اشتريتها هنا.,ਤੁਹਾਡੇ ਖਰੀਦੇ ਗਏ ਕੋਰਸਾਂ ਲਈ ਸਾਰੇ ਸਰਗਰਮ ਕੋਰਸ ਸਬਸਕ੍ਰਿਪਸ਼ਨ ਅਤੇ ਚੱਲ ਰਹੇ ਭੁਗਤਾਨ ਯੋਜਨਾ ਚੱਕਰ ਇੱਥੇ ਦਰਸਾਏ ਜਾਣਗੇ।,Todas las suscripciones activas del curso y el ciclo del plan de pago en curso para tus cursos comprados se enumerarán aquí.,Alle aktiven Kursabonnements und laufenden Zahlungspläne für Ihre gekauften Kurse werden hier aufgelistet.,購入したコースのすべてのアクティブなコースサブスクリプションと進行中の支払いプランサイクルがここに表示されます。,구매한 과정의 모든 활성 코스 구독 및 진행 중인 결제 계획 주기가 여기에 나열됩니다.,Тут будуть вказані всі активні підписки на курси та поточний цикл плану платежів за ваші придбані курси.,دلته به ستاسو د اخیستل شویو کورسونو لپاره ټول فعال کورس ګډونونه او روان تادیه پلان دورې لیست شي.,所有已购买课程的活跃订阅和正在进行的付款计划周期将列在此处。
pie.broadcast.pin_max_reached,You have reached the limit of maximum number of users to pin.,You have reached the limit of maximum number of users to pin.,آپ نے صارفین کی زیادہ سے زیادہ تعداد کو پن کرنے کی حد کو پہنچ چکے ہیں۔,Ai atins limita maximă de utilizatori pe care îi poți fixa.,شما به حداکثر تعداد کاربران برای پین کردن رسیده‌اید.,Vous avez atteint la limite du nombre maximum d'utilisateurs à épingler.,आपने पिन करने के लिए अधिकतम उपयोगकर्ताओं की सीमा तक पहुँच प्राप्त कर ली है।,لقد وصلت إلى الحد الأقصى لعدد المستخدمين المسموح بتثبيتهم.,ਤੁਸੀਂ ਪਿੰਨ ਕਰਨ ਲਈ ਵੱਧ ਤੋਂ ਵੱਧ ਉਪਭੋਗਤਾਵਾਂ ਦੀ ਸੀਮਾ ਪਹੁੰਚ ਗਏ ਹੋ।,Has alcanzado el límite máximo de usuarios para fijar.,"Sie haben die maximale Anzahl von Benutzern erreicht, die angeheftet werden können.",ピンできるユーザーの最大数に達しました。,고정할 수 있는 최대 사용자 수에 도달했습니다.,Ви досягли ліміту максимальної кількості користувачів для закріплення.,تاسو د کاروونکو د اعظمي شمیر حد ته رسیدلي یاست چې پن کړئ.,您已达到固定用户数量的上限。
label.text.assignment_submit_notify,Assignment submitted successfully,Assignment submitted successfully,اسائنمنٹ کامیابی سے جمع کروا دی گئی۔,Temă trimisă cu succes,تکلیف با موفقیت ارسال شد,Devoir soumis avec succès,असाइनमेंट सफलतापूर्वक सबमिट किया गया,تم تقديم الواجب بنجاح,ਅਸਾਈਨਮੈਂਟ ਸਫਲਤਾਪੂਰਵਕ ਜਮ੍ਹਾ ਕਰ ਦਿੱਤੀ ਗਈ,Tarea enviada con éxito,Aufgabe erfolgreich eingereicht,課題が正常に提出されました,과제가 성공적으로 제출되었습니다.,Завдання успішно подано,دنده په بریالیتوب سره وسپارل شوه,作业提交成功
site.content.faq,Frequently Asked Questions,Frequently Asked Questions,اکثر پوچھے جانے والے سوالات,Întrebări frecvente,سوالات متداول,Questions Fréquemment Posées,अक्सर पूछे जाने वाले प्रश्न,الأسئلة الشائعة,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਸਵਾਲ,Preguntas Frecuentes,Häufig gestellte Fragen,よくある質問,자주 묻는 질문,Часті запитання,په مکرر ډول پوښتل شوي پوښتنې,常见问题
pie.accessRequest.grant.raise_hand,has raised hand,has raised hand,ہاتھ اٹھایا ہے,a ridicat mâna,دست خود را بالا برده است,a levé la main,हाथ उठाया है,رفع اليد,ਹੱਥ ਚੁੱਕਿਆ ਹੈ,ha levantado la mano,hat die Hand gehoben,手を挙げました,손을 들었습니다,підняв руку,لاس پورته کړی,举手了
label.course.access.blocked.title,Course access blocked!,Course access blocked!,کورس تک رسائی بلاک کر دی گئی ہے!,Accesul la curs este blocat!,دسترسی به دوره مسدود شد!,Accès au cours bloqué !,कोर्स एक्सेस अवरुद्ध!,تم حظر الوصول إلى الدورة!,ਕੋਰਸ ਪਹੁੰਚ ਰੋਕੀ ਗਈ!,¡Acceso al curso bloqueado!,Kurszugang gesperrt!,コースアクセスがブロックされました！,코스 접근이 차단되었습니다!,Доступ до курсу заблоковано!,د کورس لاسرسی بند شوی!,课程访问被阻止！
pie.course.ilc.purchase_another_batch.title,Confirm purchase another batch,Confirm purchase another batch,ایک اور کھیپ کی خریداری کی تصدیق کریں۔,Confirmă achiziția unui alt lot,تأیید خرید یک دسته دیگر,Confirmer l'achat d'un autre lot,दूसरे बैच की खरीद की पुष्टि करें,تأكيد شراء دفعة أخرى,ਇੱਕ ਹੋਰ ਬੈਚ ਖਰੀਦਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,Confirmar compra de otro lote,Kauf eines weiteren Batches bestätigen,別のバッチを購入することを確認,다른 배치 구매 확인,Підтвердити покупку іншої партії,د بلې ډلې پیرود تایید کړئ,确认购买另一批
label.text.tooltip.already_graded,This assignment has already been graded.,This assignment has already been graded.,اس اسائنمنٹ کی پہلے ہی گریڈنگ ہو چکی ہے۔,Această temă a fost deja notată.,این تکلیف قبلاً نمره‌گذاری شده است.,Ce devoir a déjà été noté.,इस असाइनमेंट का पहले ही मूल्यांकन किया जा चुका है।,تم تقييم هذا الواجب بالفعل.,ਇਹ ਅਸਾਈਨਮੈਂਟ ਪਹਿਲਾਂ ਹੀ ਗ੍ਰੇਡ ਕੀਤੀ ਗਈ ਹੈ।,Esta tarea ya ha sido calificada.,Diese Aufgabe wurde bereits bewertet.,この課題はすでに評価されています。,이 과제는 이미 채점되었습니다.,Це завдання вже оцінено.,دا دنده دمخه درجه بندي شوې ده.,这个作业已经被评分了。
pie.broadcast.detecting_camera_in_system,Detecting camera in your system.,Detecting camera in your system.,آپ کے نظام میں کیمرے کا پتہ لگانا۔,Detectarea camerei în sistemul dumneavoastră.,شناسایی دوربین در سیستم شما.,Détection de la caméra dans votre système.,आपके सिस्टम में कैमरा का पता लगाया जा रहा है।,اكتشاف الكاميرا في نظامك.,ਤੁਹਾਡੇ ਸਿਸਟਮ ਵਿੱਚ ਕੈਮਰਾ ਖੋਜਿਆ ਜਾ ਰਿਹਾ ਹੈ।,Detectando cámara en tu sistema.,Kamera in Ihrem System wird erkannt.,システムでカメラを検出しています。,시스템에서 카메라를 감지 중입니다.,Виявлення камери у вашій системі.,په خپل سیسټم کې د کیمرې کشف کول.,检测系统中的摄像头。
label.text.requestAccess,Request access,Request access,رسائی کی درخواست کریں,Solicită acces,درخواست دسترسی,Demander l'accès,एक्सेस का अनुरोध करें,طلب الوصول,ਪਹੁੰਚ ਦੀ ਬੇਨਤੀ ਕਰੋ,Solicitar acceso,Zugriff anfordern,アクセスをリクエスト,접근 요청,Запит на доступ,د لاسرسي غوښتنه,请求访问
pie.app.timezone,Time zone,Time zone,ٹائم زون,Fus orar,منطقه زمانی,Fuseau horaire,समय क्षेत्र,المنطقة الزمنية,ਸਮਾਂ ਖੇਤਰ,Zona horaria,Zeitzone,タイムゾーン,시간대,Часовий пояс,د وخت زون,时区
label.text.upload_assignment,Upload Assignment,Upload Assignment,اسائنمنٹ اپ لوڈ کریں,Încărcați Tema,بارگذاری تکلیف,Télécharger le devoir,असाइनमेंट अपलोड करें,رفع الواجب,ਅਸਾਈਨਮੈਂਟ ਅਪਲੋਡ ਕਰੋ,Subir tarea,Aufgabe hochladen,課題をアップロード,과제 업로드,Завантажити завдання,دنده پورته کړئ,上传作业
pie.app.course.enrolled_course_failed,Unable to fetch your enrolled course.,Unable to fetch your enrolled course.,آپ کے داخلہ شدہ کورس کو حاصل کرنے میں ناکام۔,Nu se poate prelua cursul la care sunteți înscris.,قادر به دریافت دوره ثبت‌نام‌شده شما نیستیم.,Impossible de récupérer votre cours inscrit.,आपके नामांकित कोर्स को प्राप्त करने में असमर्थ।,غير قادر على جلب الدورة المسجلة.,ਤੁਹਾਡਾ ਦਰਜ ਕੀਤਾ ਕੋਰਸ ਪ੍ਰਾਪਤ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ।,No se puede obtener tu curso inscrito.,Ihr eingeschriebener Kurs kann nicht abgerufen werden.,登録したコースを取得できません。,등록된 과정을 가져올 수 없습니다.,Неможливо отримати ваш зареєстрований курс.,ستاسو د شامل شوي کورس ترلاسه کولو توان نشته.,无法获取您注册的课程。
pie.broadcast.checking_av_protocols,"Checking your audio, video protocols","Checking your audio, video protocols",آپ کے آڈیو، ویڈیو پروٹوکولز کی جانچ کرنا۔,Verificarea protocoalelor audio și video,بررسی پروتکل‌های صوتی و تصویری شما,"Vérification de vos protocoles audio, vidéo","आपके ऑडियो, वीडियो प्रोटोकॉल की जाँच की जा रही है",التحقق من بروتوكولات الصوت والفيديو الخاصة بك,"ਤੁਹਾਡੇ ਆਡੀਓ, ਵੀਡੀਓ ਪ੍ਰੋਟੋਕੋਲ ਦੀ ਜਾਂਚ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ",Comprobando tus protocolos de audio y video,"Überprüfung Ihrer Audio-, Video-Protokolle",オーディオ、ビデオプロトコルを確認中,"오디오, 비디오 프로토콜을 확인 중입니다.","Перевірка ваших аудіо, відео протоколів",ستاسو د آډیو، ویډیو پروتوکولونه چک کول,检查您的音频、视频协议
pie.accessRequest.revoke.miccam_access,Revoke mic/cam access,Revoke mic/cam access,مائیک/کیمرہ کی رسائی منسوخ کریں۔,Revocă accesul la microfon/cameră,لغو دسترسی میکروفون/دوربین,Révoquer l'accès micro/cam,माइक/कैम एक्सेस रद्द करें,إلغاء الوصول إلى الميكروفون/الكاميرا,ਮਾਈਕ/ਕੈਮ ਪਹੁੰਚ ਰੱਦ ਕਰੋ,Revocar acceso al micrófono/cámara,Mikrofon-/Kamerazugriff widerrufen,マイク/カメラアクセスを取り消す,마이크/카메라 접근 취소,Відкликати доступ до мікрофона/камери,مایک/کیم لاسرسی لغوه کړئ,撤销麦克风/摄像头访问权限
label.text.ticket_already_purchased_ticket_info,You have already purchased the <b>{{ticketName}}</b> plan to access this course forever from the date of enrolment. Do you wish to cancel the current plan and purchase a new ticket?,You have already purchased the <b>{{ticketName}}</b> plan to access this course forever from the date of enrolment. Do you wish to cancel the current plan and purchase a new ticket?,آپ نے پہلے ہی <b>{{ticketName}}</b> پلان خرید لیا ہے تاکہ اندراج کی تاریخ سے اس کورس تک ہمیشہ کے لیے رسائی حاصل کر سکیں۔ کیا آپ موجودہ پلان کو منسوخ کر کے نیا ٹکٹ خریدنا چاہتے ہیں؟,Ați achiziționat deja planul <b>{{ticketName}}</b> pentru a accesa acest curs pentru totdeauna de la data înscrierii. Doriți să anulați planul actual și să achiziționați un bilet nou?,شما قبلاً طرح <b>{{ticketName}}</b> را برای دسترسی همیشگی به این دوره از تاریخ ثبت‌نام خریداری کرده‌اید. آیا مایلید طرح فعلی را لغو کرده و بلیط جدیدی خریداری کنید؟,Vous avez déjà acheté le plan <b>{{ticketName}}</b> pour accéder à ce cours pour toujours à partir de la date d'inscription. Souhaitez-vous annuler le plan actuel et acheter un nouveau billet ?,आपने इस कोर्स को हमेशा के लिए एक्सेस करने के लिए <b>{{ticketName}}</b> योजना पहले ही खरीद ली है। क्या आप वर्तमान योजना को रद्द करना चाहते हैं और नया टिकट खरीदना चाहते हैं?,لقد اشتريت بالفعل خطة <b>{{ticketName}}</b> للوصول إلى هذه الدورة إلى الأبد من تاريخ التسجيل. هل ترغب في إلغاء الخطة الحالية وشراء تذكرة جديدة؟,ਤੁਸੀਂ ਪਹਿਲਾਂ ਹੀ <b>{{ticketName}}</b> ਯੋਜਨਾ ਖਰੀਦ ਚੁੱਕੇ ਹੋ ਤਾਂ ਜੋ ਨਾਮ ਦਰਜ ਕਰਨ ਦੀ ਮਿਤੀ ਤੋਂ ਸਦੀਵੀ ਇਸ ਕੋਰਸ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕੇ। ਕੀ ਤੁਸੀਂ ਮੌਜੂਦਾ ਯੋਜਨਾ ਰੱਦ ਕਰਕੇ ਨਵਾਂ ਟਿਕਟ ਖਰੀਦਣਾ ਚਾਹੁੰਦੇ ਹੋ?,Ya has comprado el plan <b>{{ticketName}}</b> para acceder a este curso para siempre desde la fecha de inscripción. ¿Deseas cancelar el plan actual y comprar un nuevo ticket?,"Sie haben bereits den <b>{{ticketName}}</b>-Plan gekauft, um diesen Kurs ab dem Einschreibedatum dauerhaft zu nutzen. Möchten Sie den aktuellen Plan kündigen und ein neues Ticket kaufen?",このコースにアクセスするための<b>{{ticketName}}</b>プランをすでに購入しています。現在のプランをキャンセルして新しいチケットを購入しますか？,<b>{{ticketName}}</b> 계획을 이미 구매하여 등록일로부터 이 과정을 영구적으로 접근할 수 있습니다. 현재 계획을 취소하고 새 티켓을 구매하시겠습니까?,Ви вже придбали план <b>{{ticketName}}</b> для доступу до цього курсу назавжди з дати зарахування. Ви хочете скасувати поточний план і придбати новий квиток?,تاسو دمخه د دې کورس د تل لپاره د لاسرسي لپاره <b>{{ticketName}}</b> پلان اخیستی دی. ایا تاسو غواړئ اوسنی پلان لغوه کړئ او نوی ټکټ واخلئ؟,您已购买<b>{{ticketName}}</b>计划，从注册之日起即可永久访问此课程。您是否希望取消当前计划并购买新票？
label.text.due,Due,Due,واجب الادا,Datorat,سررسید,Dû,देय,مستحق,ਬਕਾਇਆ,Vencimiento,Fällig,期限,마감,Термін,پوروړی,到期
pie.app.mic.stopped_error,Your mic is muted due to an error.,Your mic is muted due to an error.,آپ کا مائیک ایک خرابی کی وجہ سے خاموش ہے۔,Microfonul tău este dezactivat din cauza unei erori.,میکروفون شما به دلیل یک خطا بی‌صدا شده است.,Votre micro est coupé en raison d'une erreur.,आपका माइक एक त्रुटि के कारण म्यूट है।,الميكروفون الخاص بك مكتوم بسبب خطأ.,ਤੁਹਾਡਾ ਮਾਈਕ ਇੱਕ ਗਲਤੀ ਕਾਰਨ ਮਿਊਟ ਹੈ।,Tu micrófono está silenciado debido a un error.,Ihr Mikrofon ist aufgrund eines Fehlers stummgeschaltet.,エラーによりマイクがミュートされています。,오류로 인해 마이크가 음소거되었습니다.,Ваш мікрофон вимкнено через помилку.,ستاسو مایک د یوې تېروتنې له امله غلی شوی دی.,由于错误，您的麦克风被静音了。
pie.app.coursesite.error,Unable to load the course webpage.,Unable to load the course webpage.,کورس ویب پیج لوڈ کرنے سے قاصر۔,Nu se poate încărca pagina web a cursului.,بارگذاری صفحه وب دوره امکان‌پذیر نیست.,Impossible de charger la page du cours.,कोर्स वेबपेज लोड करने में असमर्थ।,غير قادر على تحميل صفحة الدورة.,ਕੋਰਸ ਵੈੱਬਪੇਜ ਲੋਡ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ।,No se puede cargar la página del curso.,Die Kurswebseite kann nicht geladen werden.,コースのウェブページを読み込めません。,코스 웹페이지를 로드할 수 없습니다.,Неможливо завантажити веб-сторінку курсу.,د کورس ویب پاڼه پورته کولو توان نشته.,无法加载课程网页。
pie.pollanalytics.answers,Answers:,Answers:,جوابات:,Răspunsuri:,پاسخ‌ها:,Réponses :,उत्तर:,الإجابات:,ਉੱਤਰ:,Respuestas:,Antworten:,回答：,답변:,Відповіді:,ځوابونه:,答案：
pie.ticketPayment.paymentSuccess,Payment successful,Payment successful,ادائیگی کامیاب رہی۔,Plată reușită,پرداخت موفقیت‌آمیز بود,Paiement réussi,भुगतान सफल,تم الدفع بنجاح,ਭੁਗਤਾਨ ਸਫਲ,Pago exitoso,Zahlung erfolgreich,支払いが成功しました,결제가 성공적으로 완료되었습니다.,Оплата успішна,تادیه بریالۍ شوه,支付成功
pie.material.video_error,Error occured while loading the video.,Error occured while loading the video.,ویڈیو لوڈ کرتے وقت خرابی پیش آئی۔,A apărut o eroare la încărcarea videoclipului.,هنگام بارگذاری ویدیو خطایی رخ داد.,Une erreur est survenue lors du chargement de la vidéo.,वीडियो लोड करते समय त्रुटि हुई।,حدث خطأ أثناء تحميل الفيديو.,ਵੀਡੀਓ ਲੋਡ ਕਰਨ ਦੌਰਾਨ ਗਲਤੀ ਆਈ।,Ocurrió un error al cargar el video.,Fehler beim Laden des Videos aufgetreten.,ビデオの読み込み中にエラーが発生しました。,비디오 로드 중 오류가 발생했습니다.,Сталася помилка під час завантаження відео.,ویډیو پورته کولو پر مهال تېروتنه وشوه.,加载视频时发生错误。
label.courseenrolled,Enrolled Courses,Enrolled Courses,داخلہ شدہ کورسز,Cursuri Înscrise,دوره‌های ثبت‌نام شده,Cours inscrits,नामांकित कोर्स,الدورات المسجلة,ਦਰਜ ਕੀਤੇ ਕੋਰਸ,Cursos Inscritos,Eingeschriebene Kurse,登録コース,등록된 과정,Зараховані курси,شامل شوي کورسونه,已注册课程
pie.broadcast.error.msg.screen_share_not_supported,Screen sharing is not supported in your browser. kindly update to latest version of your browser.,Screen sharing is not supported in your browser. kindly update to latest version of your browser.,آپ کے براؤزر میں اسکرین شیئرنگ کی حمایت نہیں ہے۔ براہ کرم اپنے براؤزر کو تازہ ترین ورژن میں اپ ڈیٹ کریں۔,Partajarea ecranului nu este acceptată în browserul dumneavoastră. Vă rugăm să actualizați la cea mai recentă versiune a browserului.,اشتراک‌گذاری صفحه در مرورگر شما پشتیبانی نمی‌شود. لطفاً مرورگر خود را به آخرین نسخه به‌روزرسانی کنید.,Le partage d'écran n'est pas pris en charge dans votre navigateur. veuillez mettre à jour votre navigateur à la dernière version.,आपके ब्राउज़र में स्क्रीन शेयरिंग समर्थित नहीं है। कृपया अपने ब्राउज़र को नवीनतम संस्करण में अपडेट करें।,مشاركة الشاشة غير مدعومة في متصفحك. يرجى التحديث إلى أحدث إصدار من المتصفح.,ਤੁਹਾਡੇ ਬ੍ਰਾਊਜ਼ਰ ਵਿੱਚ ਸਕ੍ਰੀਨ ਸਾਂਝਾ ਕਰਨ ਦੀ ਸਹੂਲਤ ਨਹੀਂ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਬ੍ਰਾਊਜ਼ਰ ਦੇ ਨਵੇਂ ਸੰਸਕਰਣ 'ਤੇ ਅਪਡੇਟ ਕਰੋ।,"La función de compartir pantalla no es compatible con tu navegador. Por favor, actualiza a la última versión de tu navegador.",Bildschirmfreigabe wird in Ihrem Browser nicht unterstützt. Bitte aktualisieren Sie auf die neueste Version Ihres Browsers.,お使いのブラウザでは画面共有がサポートされていません。最新バージョンのブラウザに更新してください。,브라우저에서 화면 공유가 지원되지 않습니다. 브라우저를 최신 버전으로 업데이트해 주세요.,"Спільний доступ до екрану не підтримується у вашому браузері. будь ласка, оновіть до останньої версії вашого браузера.",په خپل براوزر کې د سکرین شریکول ملاتړ نه کوي. مهرباني وکړئ خپل براوزر وروستی نسخه ته تازه کړئ.,您的浏览器不支持屏幕共享。请更新到最新版本的浏览器。
site.content.trainers_list,Trainers List,Trainers List,ٹرینرز کی فہرست,Listă de antrenori,فهرست مربیان,Liste des formateurs,प्रशिक्षकों की सूची,قائمة المدربين,ਟ੍ਰੇਨਰਾਂ ਦੀ ਸੂਚੀ,Lista de entrenadores,Trainerliste,トレーナーリスト,트레이너 목록,Список тренерів,د روزونکو لیست,教练名单
